1255388400	57798
1255389120	493
1255389840	401
1255390560	401
1255391280	401
1255392000	402
1255392720	400
1255393440	401
1255394160	401
1255394880	401
1255395600	402
1255396320	2655
1255397040	1037
1255397760	58
1255398480	59
1255399200	1036
1255399920	1970
1255400640	572
1255401360	401
1255402080	401
1255402800	402
1255403520	400
1255404240	409
1255404960	473
1255405680	435
1255406400	436
1255407120	435
1255407840	435
1255408560	436
1255409280	435
1255410000	5805
1255410720	5132
1255411440	36141
1255412160	41545
1255412880	11989
1255413600	2078
1255414320	1151
1255415040	1275
1255415760	1258
1255416480	1344
1255417200	1389
1255417920	1661
1255418640	1515
1255419360	1981
1255420080	1339
1255420800	1277
1255421520	1324
1255422240	1301
1255422960	1311
1255423680	1320
1255424400	1269
1255425120	31466
1255425840	11883
1255426560	1216
1255427280	1233
1255428000	1218
1255428720	1225
1255429440	23746
1255430160	97862
1255430880	117264
1255431600	102671
1255432320	52998
1255433040	36240
1255433760	43288
1255434480	67226
1255435200	30098
1255435920	21295
1255436640	26000
1255437360	1405
1255438080	1381
1255438800	1399
1255439520	1397
1255440240	77891
1255440960	187436
1255441680	343808
1255442400	361383
1255443120	253550
1255443840	356971
1255444560	368655
1255445280	202241
1255446000	139681
1255446720	225353
1255447440	159756
1255448160	37515
1255448880	1282
1255449600	1265
1255450320	1640
1255451040	1304
1255451760	1296
1255452480	1262
1255453200	1189
1255453920	1191
1255454640	2887
